,journalName
1966084,Int. J. Mob. Hum. Comput. Interact.
1628913,Behaviour & Information Technology
951943,Proceedings of the 16th international ACM SIGACCESS conference on Computers & accessibility
930106,ACM Trans. Access. Comput.
2229458,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
851973,IEEE Transactions on Geoscience and Remote Sensing
360454,Proceedings of the Fifth International Conference on Learning Analytics And Knowledge
2258353,Br. J. Educ. Technol.
1769481,Mechanism and Machine Theory
586819,2016 6th IEEE International Conference on Biomedical Robotics and Biomechatronics (BioRob)
820011,Robotics Auton. Syst.
1446670,2018 7th IEEE International Conference on Biomedical Robotics and Biomechatronics (Biorob)
2044457,Advanced Robotics
1386507,5th IEEE RAS/EMBS International Conference on Biomedical Robotics and Biomechatronics
2671344,Robotics Auton. Syst.
1475609,2017 International Conference on Rehabilitation Robotics (ICORR)
48215,2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
1396955,IEEE Robotics & Automation Magazine
2523145,LAK21: 11th International Learning Analytics and Knowledge Conference
548853,Artificial Intelligence in Education
2392076,2017 14th Conference on Computer and Robot Vision (CRV)
127862,Comput. Vis. Image Underst.
916524,2016 IEEE/WIC/ACM International Conference on Web Intelligence (WI)
32780,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1376273,International Journal of Computer Assisted Radiology and Surgery
1703953,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
1450504,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
2449824,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
531135,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
884755,2011 IEEE Virtual Reality Conference
720917,Optics and Lasers in Engineering
786456,Neural networks : the official journal of the International Neural Network Society
2597681,Neural Computation
2620248,Neural Computation
327705,Proceedings of the 11th International Conference on Mobile and Ubiquitous Multimedia
131101,2014 American Control Conference
2498391,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2293790,2016 IEEE 16th International Conference on Data Mining (ICDM)
1694341,Computer
2671568,2015 IEEE International Conference on Data Mining
1454849,Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining
2488700,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
1777034,Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
1441822,Proceedings of the 4th International Symposium on Pervasive Displays
2111342,IEEE Pervasive Computing
2202916,Proceedings of the 15th International ACM SIGACCESS Conference on Computers and Accessibility
1490028,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
327713,Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering
2534871,Proceedings of the 19th International Workshop on Mobile Computing Systems & Applications
1037382,IEEE Transactions on Reliability
885666,2015 IEEE Global Communications Conference (GLOBECOM)
341874,ACM Transactions on Information Systems (TOIS)
640476,2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C)
1276099,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)
2406789,Proceedings of the 26th International Conference on World Wide Web
1502232,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)"
2120958,Proceedings of the 2015 International Symposium on Software Testing and Analysis
950310,Social Network Analysis and Mining
782747,ArXiv
2330528,Proceedings of the National Academy of Sciences
1792840,2019 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)
2435209,Science
589864,2017 IEEE Radar Conference (RadarConf)
2362208,2015 IEEE International Conference on Image Processing (ICIP)
2296768,IEEE Transactions on Signal Processing
77203,IEEE Transactions on Signal Processing
294998,"2014 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"
1605675,Expert Syst. Appl.
1258755,Robotics Auton. Syst.
740511,2013 IEEE International Conference on Robotics and Automation
2611069,2015 European Conference on Mobile Robots (ECMR)
1851702,Knowl. Based Syst.
2457646,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
2581712,ACM Trans. Comput. Hum. Interact.
1015855,Companion Proceedings of the Web Conference 2020
557103,Proceedings of the 27th ACM International Conference on Information and Knowledge Management
52591,Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval
557108,2013 IEEE 13th International Conference on Data Mining
720948,Educational Technology Research and Development
1572918,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1149665,Proceedings of the 2013 ACM SIGSAC conference on Computer & communications security
1053102,2012 IEEE Symposium on Security and Privacy
1561127,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1245238,Computational and Mathematical Organization Theory
949294,Comput. Environ. Urban Syst.
2261049,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
544233,Comput. Hum. Behav.
942402,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
