,0,1,2,3
0,4.0,0.218,17.0,1.12
1,1.0,0.641,78.0,3.29
2,0.0,0.237,12.0,0.0
3,3.0,0.292,29.0,2.17
4,0.0,0.11,2.0,0.45
5,1.0,2.141,254.0,6.87
6,0.0,0.171,8.0,0.3
7,1.0,2.489,294.0,9.66
8,1.0,1.202,110.0,4.58
9,0.0,0.264,28.0,1.31
10,1.0,0.808,118.0,4.72
11,0.0,0.264,28.0,1.31
12,2.0,0.466,64.0,2.04
13,0.0,0.264,28.0,1.31
14,1.0,0.808,118.0,4.72
15,0.0,0.298,33.0,1.13
16,0.0,0.597,123.0,3.02
17,1.0,0.686,92.0,3.54
18,4.0,0.1,1.0,1.0
19,1.0,0.98,87.0,6.69
20,0.0,0.36,9.0,2.89
21,1.0,0.854,138.0,6.86
22,0.0,0.182,9.0,0.0
23,0.0,0.11,2.0,0.45
24,1.0,0.701,49.0,3.83
25,0.0,0.11,2.0,0.45
26,0.0,0.11,2.0,0.45
27,0.0,0.11,2.0,0.45
28,0.0,0.11,2.0,0.45
29,0.0,0.168,14.0,0.0
30,1.0,1.143,94.0,5.44
31,3.0,0.175,14.0,0.17
32,1.0,1.235,169.0,3.47
33,1.0,1.235,169.0,3.47
34,0.0,0.108,3.0,0.54
35,0.0,0.194,4.0,0.59
36,0.0,0.11,2.0,0.45
37,0.0,0.511,26.0,3.1
38,1.0,0.846,169.0,3.56
39,0.0,0.545,124.0,3.52
40,0.0,0.469,24.0,8.48
41,0.0,0.469,24.0,8.48
42,0.0,0.469,24.0,8.48
43,0.0,0.141,7.0,1.27
44,1.0,0.679,101.0,3.47
45,0.0,0.237,12.0,0.0
46,0.0,0.11,2.0,0.45
47,0.0,0.474,19.0,6.1
48,0.0,0.333,7.0,0.0
49,1.0,1.032,102.0,5.11
50,0.0,0.387,31.0,0.0
51,1.0,0.672,83.0,7.1
52,0.0,0.313,17.0,0.0
53,0.0,0.313,17.0,0.0
54,0.0,4.392,1.0,0.0
55,0.0,1.165,1.0,10.0
56,0.0,0.467,21.0,7.41
57,1.0,0.457,36.0,3.87
58,4.0,0.21,58.0,0.77
59,2.0,0.266,20.0,1.23
60,0.0,0.172,7.0,1.25
61,1.0,12.556,1186.0,13.08
62,0.0,0.282,20.0,0.0
63,0.0,0.125,0.0,0.0
64,1.0,1.638,270.0,7.53
65,1.0,1.638,270.0,7.53
66,0.0,0.546,163.0,4.65
67,2.0,0.365,38.0,2.64
68,1.0,0.808,118.0,4.72
69,0.0,0.915,187.0,5.75
70,0.0,0.258,12.0,0.0
71,1.0,1.587,121.0,9.42
72,0.0,0.11,2.0,0.45
73,2.0,0.536,90.0,5.82
74,0.0,0.112,15.0,0.0
75,0.0,0.132,7.0,0.74
76,0.0,0.536,33.0,0.0
77,0.0,0.511,26.0,3.1
78,1.0,1.346,90.0,4.09
79,0.0,0.11,2.0,0.45
80,0.0,1.023,176.0,6.03
81,0.0,2.407,132.0,19.03
82,0.0,0.11,2.0,0.45
83,2.0,0.426,27.0,2.7
84,1.0,1.549,92.0,6.11
85,0.0,0.11,2.0,0.45
86,1.0,2.108,178.0,7.83
87,0.0,0.314,86.0,3.4
88,0.0,0.11,2.0,0.45
89,1.0,3.501,109.0,8.55
90,0.0,0.153,10.0,0.0
91,0.0,0.11,2.0,0.45
92,0.0,0.237,12.0,0.0
93,0.0,0.279,30.0,0.0
94,0.0,0.11,2.0,0.45
95,0.0,4.392,1.0,0.0
96,0.0,0.11,2.0,0.45
97,0.0,4.392,1.0,0.0
98,0.0,0.836,28.0,0.0
99,1.0,0.733,122.0,5.17
100,3.0,0.247,46.0,1.82
101,0.0,0.11,2.0,0.45
102,0.0,0.11,2.0,0.45
103,2.0,0.536,90.0,5.82
104,0.0,0.11,2.0,0.45
105,0.0,0.123,11.0,1.02
106,0.0,0.512,37.0,0.0
107,0.0,0.11,2.0,0.45
108,2.0,0.379,27.0,4.42
109,0.0,0.11,2.0,0.45
110,0.0,0.314,86.0,3.4
111,0.0,0.153,10.0,0.0
112,0.0,0.134,3.0,0.0
113,0.0,0.3,17.0,0.0
114,0.0,0.11,2.0,0.45
115,0.0,0.182,10.0,3.67
116,2.0,0.416,88.0,2.87
117,1.0,0.846,169.0,3.56
118,1.0,1.118,6.0,0.0
119,0.0,0.319,77.0,1.88
120,0.0,0.269,19.0,0.0
121,0.0,0.11,2.0,0.45
122,0.0,0.11,2.0,0.45
123,0.0,0.11,2.0,0.45
124,0.0,0.11,2.0,0.45
125,0.0,0.11,2.0,0.45
126,1.0,0.679,101.0,3.47
127,0.0,0.141,7.0,1.27
128,2.0,0.536,90.0,5.82
129,0.0,0.11,2.0,0.45
130,0.0,0.314,86.0,3.4
131,0.0,0.11,2.0,0.45
132,0.0,0.11,2.0,0.45
133,0.0,0.3,17.0,0.0
134,0.0,0.153,10.0,0.0
135,1.0,3.143,90.0,8.6
136,0.0,0.602,88.0,3.13
137,0.0,0.602,88.0,3.13
138,1.0,0.967,214.0,3.51
139,0.0,0.314,86.0,3.4
140,0.0,0.11,2.0,0.45
141,0.0,0.3,17.0,0.0
142,2.0,0.379,27.0,4.42
143,0.0,0.11,2.0,0.45
144,2.0,0.379,27.0,4.42
145,0.0,0.11,2.0,0.45
146,0.0,0.11,2.0,0.45
147,0.0,0.314,86.0,3.4
148,0.0,0.11,2.0,0.45
149,0.0,0.11,2.0,0.45
150,2.0,0.379,27.0,4.42
151,0.0,0.11,2.0,0.45
152,0.0,0.314,86.0,3.4
153,0.0,0.314,86.0,3.4
154,0.0,0.153,10.0,0.0
155,0.0,0.11,2.0,0.45
156,0.0,0.314,86.0,3.4
157,0.0,0.11,2.0,0.45
158,0.0,0.11,2.0,0.45
159,0.0,0.11,2.0,0.45
160,0.0,0.279,30.0,0.0
161,0.0,0.314,86.0,3.4
162,0.0,0.11,2.0,0.45
163,0.0,0.314,86.0,3.4
164,0.0,0.153,10.0,0.0
165,0.0,0.314,86.0,3.4
166,0.0,0.314,86.0,3.4
167,0.0,0.602,88.0,3.13
168,0.0,0.314,86.0,3.4
169,0.0,0.11,2.0,0.45
170,0.0,0.314,86.0,3.4
171,2.0,0.398,8.0,1.9
172,1.0,1.696,225.0,4.36
173,1.0,0.334,7.0,0.36
174,1.0,0.334,7.0,0.36
175,4.0,0.21,58.0,0.77
176,4.0,0.1,1.0,1.0
177,2.0,0.819,39.0,2.11
178,0.0,0.106,2.0,0.0
179,0.0,0.601,47.0,3.29
180,0.0,0.11,2.0,0.45
181,0.0,0.11,2.0,0.45
182,2.0,0.536,90.0,5.82
183,0.0,0.11,2.0,0.45
184,0.0,0.11,2.0,0.45
185,1.0,0.679,101.0,3.47
186,0.0,0.11,2.0,0.45
187,0.0,0.11,2.0,0.45
188,0.0,0.1,3.0,0.0
189,2.0,1.305,52.0,2.09
190,0.0,0.601,47.0,3.29
191,1.0,3.259,364.0,6.82
192,0.0,0.601,47.0,3.29
193,0.0,0.601,47.0,3.29
194,0.0,0.601,47.0,3.29
195,0.0,0.153,10.0,0.0
196,0.0,0.314,86.0,3.4
197,0.0,0.11,2.0,0.45
198,1.0,1.085,143.0,7.08
199,0.0,0.206,8.0,0.88
200,1.0,1.567,208.0,3.51
201,3.0,0.282,80.0,1.04
202,0.0,0.254,83.0,1.31
203,0.0,0.11,2.0,0.45
204,0.0,0.11,2.0,0.45
205,0.0,0.11,2.0,0.45
206,0.0,0.279,30.0,0.0
207,0.0,0.11,2.0,0.45
208,0.0,0.217,10.0,3.69
209,0.0,0.299,16.0,0.0
210,0.0,0.11,2.0,0.45
211,0.0,0.11,2.0,0.45
212,4.0,0.21,58.0,0.77
213,0.0,0.498,47.0,2.64
214,1.0,1.786,168.0,9.32
215,0.0,0.11,2.0,0.45
216,0.0,0.314,86.0,3.4
217,2.0,0.602,8.0,3.62
218,0.0,0.354,12.0,5.47
219,0.0,0.11,2.0,0.45
220,0.0,0.11,2.0,0.45
221,0.0,0.11,2.0,0.45
222,2.0,0.416,88.0,2.87
223,3.0,0.247,46.0,1.82
224,2.0,0.59,69.0,3.54
225,0.0,0.11,2.0,0.45
226,0.0,0.11,2.0,0.45
227,0.0,0.279,30.0,0.0
228,2.0,0.536,90.0,5.82
229,0.0,0.279,30.0,0.0
230,0.0,0.11,2.0,0.45
231,0.0,0.11,2.0,0.45
232,0.0,0.242,16.0,1.27
233,0.0,0.424,9.0,2.1
234,0.0,0.546,163.0,4.65
235,1.0,0.815,138.0,4.68
236,1.0,0.914,63.0,9.8
237,1.0,1.638,270.0,7.53
238,1.0,1.638,270.0,7.53
239,1.0,2.394,54.0,5.23
240,1.0,2.394,54.0,5.23
241,1.0,2.394,54.0,5.23
242,0.0,0.812,18.0,0.0
243,0.0,2.949,97.0,0.0
244,0.0,0.812,18.0,0.0
245,0.0,0.134,13.0,0.0
246,0.0,0.208,8.0,2.16
247,0.0,0.141,7.0,1.27
248,0.0,0.317,9.0,0.0
249,1.0,1.36,174.0,8.78
250,0.0,4.392,1.0,0.0
251,0.0,0.511,26.0,3.1
252,1.0,3.109,124.0,11.19
253,1.0,3.109,124.0,11.19
254,1.0,0.808,118.0,4.72
255,3.0,0.336,58.0,2.0
256,1.0,0.581,64.0,2.9
257,0.0,0.314,86.0,3.4
258,2.0,0.379,27.0,4.42
259,0.0,0.406,12.0,0.0
260,0.0,0.11,2.0,0.45
261,0.0,0.11,2.0,0.45
262,0.0,2.483,23.0,13.03
263,1.0,2.153,218.0,12.03
264,1.0,0.699,20.0,0.89
265,0.0,0.602,88.0,3.13
266,0.0,0.168,5.0,2.42
267,0.0,0.314,86.0,3.4
268,0.0,0.11,2.0,0.45
269,0.0,0.11,2.0,0.45
270,2.0,0.536,90.0,5.82
271,1.0,0.734,114.0,2.89
272,0.0,0.326,189.0,4.4
273,0.0,0.314,86.0,3.4
274,3.0,0.247,46.0,1.82
275,0.0,0.11,2.0,0.45
276,1.0,0.846,169.0,3.56
277,0.0,0.326,189.0,4.4
278,0.0,0.11,2.0,0.45
279,0.0,0.314,86.0,3.4
280,0.0,0.166,10.0,0.0
281,0.0,0.11,2.0,0.45
282,1.0,1.005,144.0,8.0
283,2.0,0.426,27.0,2.7
284,0.0,0.129,3.0,0.0
285,2.0,0.416,88.0,2.87
286,0.0,0.11,2.0,0.45
287,0.0,0.11,2.0,0.45
288,0.0,0.11,2.0,0.45
289,0.0,0.11,2.0,0.45
290,0.0,0.602,88.0,3.13
291,0.0,4.392,1.0,0.0
292,0.0,0.11,2.0,0.45
293,0.0,0.314,86.0,3.4
294,1.0,1.614,150.0,4.69
295,4.0,0.21,58.0,0.77
296,4.0,0.21,58.0,0.77
297,0.0,0.11,2.0,0.45
298,0.0,0.11,2.0,0.45
299,0.0,0.229,9.0,2.58
300,2.0,0.59,69.0,3.54
301,0.0,0.11,2.0,0.45
302,0.0,0.11,2.0,0.45
